uid,churn
u107120,0
u102277,0
u102444,0
u103439,0
u104300,0
u102598,0
u107753,0
u103650,0
u106926,0
u103486,0
u106656,0
u104342,0
u103232,0
u101797,0
u102985,0
u102085,0
u107676,0
u102261,0
u101225,0
u105730,0
u102282,0
u104392,0
u106967,0
u108761,1
u103621,0
u106474,0
u108925,1
u104325,0
u101472,0
u106404,0
u106884,0
u105420,0
u102921,0
u107486,0
u107665,0
u102347,0
u102727,0
u107858,0
u107270,0
u102837,0
u101043,0
u108154,1
u108779,1
u107572,0
u101302,0
u108090,1
u104414,0
u101958,0
u104220,0
u103743,0
u108603,1
u105825,0
u105573,0
u104120,0
u107248,0
u105203,0
u104930,0
u101590,0
u107351,0
u103406,0
u107758,0
u106305,0
u105187,0
u108766,1
u105387,0
u104638,0
u105620,0
u105655,0
u102452,0
u106496,0
u101273,0
u108965,1
u102136,0
u101468,0
u107612,0
u105072,0
u101032,0
u105483,0
u105518,0
u103023,0
u102304,0
u104121,0
u107217,0
u102364,0
u101618,0
u103624,0
u102084,0
u101660,0
u104738,0
u102166,0
u106620,0
u103355,0
u107422,0
u105975,0
u103304,0
u107675,0
u102794,0
u106240,0
u106632,0
u102903,0
u107414,0
u107403,0
u107110,0
u104017,0
u101223,0
u102842,0
u105047,0
u106972,0
u105505,0
u103914,0
u102597,0
u101920,0
u108193,1
u106449,0
u107703,0
u101961,0
u102786,0
u107218,0
u102157,0
u103718,0
u108343,1
u102287,0
u104154,0
u101041,0
u106379,0
u101440,0
u103221,0
u102224,0
u103128,0
u107105,0
u105437,0
u103494,0
u108389,1
u103906,0
u108302,1
u107365,0
u104675,0
u102018,0
u105358,0
u101201,0
u108573,1
u105030,0
u106281,0
u102253,0
u105909,0
u106349,0
u101008,0
u105523,0
u104570,0
u102575,0
u106357,0
u105193,0
u105509,0
u102863,0
u108403,1
u101372,0
u105058,0
u108109,1
u106727,0
u107591,0
u102773,0
u103196,0
u103598,0
u101252,0
u105262,0
u106703,0
u102646,0
u108518,1
u102641,0
u106467,0
u101798,0
u102627,0
u102636,0
u102077,0
u101706,0
u108273,1
u108447,1
u101458,0
u106773,0
u106831,0
u105414,0
u103233,0
u108821,1
u108420,1
u108305,1
u107133,0
u101965,0
u107824,0
u105897,0
u105315,0
u102866,0
u101294,0
u108756,1
u107009,0
u102557,0
u106003,0
u108162,1
u104891,0
u101488,0
u108604,1
u107293,0
u107791,0
u101981,0
u101551,0
u101502,0
u107971,0
u107724,0
u103085,0
u106854,0
u106362,0
u101543,0
u105817,0
u108096,1
u105906,0
u101598,0
u107093,0
u103706,0
u102965,0
u108618,1
u101427,0
u102098,0
u106896,0
u105823,0
u101484,0
u103893,0
u103344,0
u104044,0
u102216,0
u107395,0
u102874,0
u105527,0
u108697,1
u108068,1
u102106,0
u103234,0
u105317,0
u104598,0
u106895,0
u105362,0
u102611,0
u103487,0
u103689,0
u106094,0
u102382,0
u102504,0
u102213,0
u105477,0
u108313,1
u102109,0
u102635,0
u107065,0
u103035,0
u106886,0
u107657,0
u104993,0
u107250,0
u104823,0
u103493,0
u106121,0
u105647,0
u105877,0
u102296,0
u103769,0
u107467,0
u103413,0
u108452,1
u101578,0
u102692,0
u102577,0
u106829,0
u106109,0
u104110,0
u102301,0
u103361,0
u101181,0
u101908,0
u108258,1
u101385,0
u101021,0
u101243,0
u102229,0
u105448,0
u108440,1
u106028,0
u106552,0
u108321,1
u103419,0
u103816,0
u107383,0
u108392,1
u106510,0
u103236,0
u108885,1
u105253,0
u107847,0
u108038,1
u101289,0
u108134,1
u101321,0
u105145,0
u108113,1
u108675,1
u107983,0
u103758,0
u103500,0
u102642,0
u108016,1
u106363,0
u106898,0
u101976,0
u107280,0
u105290,0
u108737,1
u104902,0
u108917,1
u102549,0
u108198,1
u101588,0
u108434,1
u104544,0
u101783,0
u101567,0
u106204,0
u104480,0
u107495,0
u101849,0
u101700,0
u104380,0
u101563,0
u108061,1
u105300,0
u107326,0
u106707,0
u102712,0
u104596,0
u101572,0
u106373,0
u108900,1
u108958,1
u103788,0
u106034,0
u102264,0
u108757,1
u104621,0
u101071,0
u108630,1
u103913,0
u105760,0
u102520,0
u107988,0
u104315,0
u102176,0
u107437,0
u106093,0
u106764,0
u105962,0
u105313,0
u105548,0
u107153,0
u106486,0
u101935,0
u103667,0
u108326,1
u104236,0
u107163,0
u108846,1
u105616,0
u101654,0
u106780,0
u103182,0
u105186,0
u102415,0
u107667,0
u102078,0
u108388,1
u108231,1
u105324,0
u105352,0
u106741,0
u102310,0
u106974,0
u107305,0
u105115,0
u101364,0
u105747,0
u107854,0
u108056,1
u103715,0
u104516,0
u106427,0
u104699,0
u108347,1
u105791,0
u103713,0
u108036,1
u105634,0
u104693,0
u102660,0
u102362,0
u107601,0
u106723,0
u107711,0
u108205,1
u108912,1
u103100,0
u108594,1
u102513,0
u101259,0
u101641,0
u105535,0
u105089,0
u108484,1
u101241,0
u108539,1
u107530,0
u108357,1
u106499,0
u107348,0
u107557,0
u107992,0
u103456,0
u106774,0
u102317,0
u106957,0
u105338,0
u105223,0
u104628,0
u104541,0
u106622,0
u104776,0
u108491,1
u106643,0
u105537,0
u106389,0
u102089,0
u106843,0
u101412,0
u102859,0
u103916,0
u108715,1
u103021,0
u107972,0
u105107,0
u102957,0
u105251,0
u107750,0
u108790,1
u102256,0
u103238,0
u107592,0
u107189,0
u103347,0
u106431,0
u108239,1
u105425,0
u108733,1
u108100,1
u107586,0
u101230,0
u108832,1
u106167,0
u104711,0
u104872,0
u106221,0
u102468,0
u102719,0
u104885,0
u102952,0
u104177,0
u101443,0
u106302,0
u105680,0
u106294,0
u108199,1
u105521,0
u107725,0
u101715,0
u107004,0
u107807,0
u106851,0
u102137,0
u103522,0
u101659,0
u102011,0
u104293,0
u104634,0
u103619,0
u105809,0
u107433,0
u106370,0
u103870,0
u107796,0
u102238,0
u103704,0
u104011,0
u104900,0
u107911,0
u108726,1
u103497,0
u105748,0
u101487,0
u102358,0
u103158,0
u104341,0
u102429,0
u105294,0
u103385,0
u102431,0
u101024,0
u102393,0
u104625,0
u106258,0
u101739,0
u106178,0
u107032,0
u105473,0
u101910,0
u104301,0
u106249,0
u107366,0
u104369,0
u107073,0
u103138,0
u102023,0
u107838,0
u101648,0
u108959,1
u103932,0
u107733,0
u101014,0
u107575,0
u102938,0
u104615,0
u104775,0
u104691,0
u107058,0
u102824,0
u101254,0
u105152,0
u101246,0
u104029,0
u101184,0
u104607,0
u108365,1
u103250,0
u101415,0
u108864,1
u105663,0
u103842,0
u104866,0
u104490,0
u106979,0
u105749,0
u105363,0
u108808,1
u102666,0
u105075,0
u101438,0
u106846,0
u106879,0
u105989,0
u101313,0
u108408,1
u103976,0
u105633,0
u108259,1
u101231,0
u106617,0
u105217,0
u101752,0
u107080,0
u105265,0
u103073,0
u105067,0
u106821,0
u104706,0
u105824,0
u106931,0
u107998,0
u103992,0
u104732,0
u101789,0
u108325,1
u108204,1
u108775,1
u105788,0
u105191,0
u104821,0
u101652,0
u107580,0
u106248,0
u104690,0
u106314,0
u102129,0
u106848,0
u105842,0
u106220,0
u102725,0
u101135,0
u104371,0
u102394,0
u108186,1
u106565,0
u103424,0
u101780,0
u108348,1
u101746,0
u106661,0
u103515,0
u106236,0
u101175,0
u101950,0
u105365,0
u102808,0
u105380,0
u104049,0
u102276,0
u106234,0
u101431,0
u108990,1
u101263,0
u106980,0
u107921,0
u105941,0
u105843,0
u105954,0
u101274,0
u107253,0
u107360,0
u105499,0
u106679,0
u104322,0
u104026,0
u102351,0
u108969,1
u107357,0
u103252,0
u104802,0
u108696,1
u106936,0
u105466,0
u103038,0
u102082,0
u101674,0
u105588,0
u103338,0
u103953,0
u108883,1
u101733,0
u107101,0
u104554,0
u108820,1
u105109,0
u104215,0
u103846,0
u102130,0
u107755,0
u107814,0
u106381,0
u105816,0
u104520,0
u105804,0
u101949,0
u108469,1
u105766,0
u104735,0
u101980,0
u101903,0
u105027,0
u108174,1
u103383,0
u101491,0
u104917,0
u103452,0
u107337,0
u105462,0
u101811,0
u107960,0
u101297,0
u102714,0
u103578,0
u103397,0
u102181,0
u104449,0
u108695,1
u103965,0
u104199,0
u107820,0
u107843,0
u103931,0
u105297,0
u108516,1
u106640,0
u101512,0
u108238,1
u103643,0
u101514,0
u103326,0
u104852,0
u101316,0
u101816,0
u104329,0
u103112,0
u105774,0
u102408,0
u104083,0
u101553,0
u101307,0
u105257,0
u103218,0
u106769,0
u101469,0
u106989,0
u104764,0
u105677,0
u101308,0
u105879,0
u107590,0
u102015,0
u108983,1
u104134,0
u107721,0
u107769,0
u103282,0
u101460,0
u103020,0
u102655,0
u105215,0
u107989,0
u102295,0
u103583,0
u106082,0
u107169,0
u108426,1
u108437,1
u103607,0
u102815,0
u104746,0
u106621,0
u104272,0
u107464,0
u106635,0
u101413,0
u104906,0
u105833,0
u104388,0
u101526,0
u105171,0
u101476,0
u108858,1
u101642,0
u104677,0
u105587,0
u105405,0
u104207,0
u103671,0
u104940,0
u103432,0
u104629,0
u104562,0
u105783,0
u107596,0
u106361,0
u107367,0
u103253,0
u103942,0
u103155,0
u105534,0
u106943,0
u103256,0
u105073,0
u103849,0
u106115,0
u105626,0
u108203,1
u105246,0
u103742,0
u101522,0
u105133,0
u107082,0
u107052,0
u104389,0
u101437,0
u101855,0
u107160,0
u107999,0
u107449,0
u104836,0
u105565,0
u108997,1
u103519,0
u106334,0
u107662,0
u104077,0
u107815,0
u103530,0
u103043,0
u104115,0
u107157,0
u108236,1
u102977,0
u103466,0
u103075,0
u105875,0
u108625,1
u107146,0
u105932,0
u102818,0
u102259,0
u106296,0
u103952,0
u108158,1
u108513,1
u107451,0
u106963,0
u108673,1
u103902,0
u102587,0
u107099,0
u105886,0
u108628,1
u102357,0
u106050,0
u104846,0
u104812,0
u104602,0
u107406,0
u108722,1
u103198,0
u101666,0
u104447,0
u108783,1
u108895,1
u102650,0
u105571,0
u104983,0
u104522,0
u103812,0
u103548,0
u104138,0
u106131,0
u105428,0
u106233,0
u104769,0
u108664,1
u103641,0
u107331,0
u107332,0
u104247,0
u107727,0
u107926,0
u108712,1
u107502,0
u106872,0
u101479,0
u108890,1
u108062,1
u105839,0
u106894,0
u103794,0
u108382,1
u104810,0
u108654,1
u104794,0
u104720,0
u106674,0
u106519,0
u105671,0
u102350,0
u104645,0
u106004,0
u108252,1
u102474,0
u102126,0
u103312,0
u102999,0
u108949,1
u101198,0
u107700,0
u107543,0
u108002,1
u106080,0
u101644,0
u103199,0
u102070,0
u108923,1
u107551,0
u108996,1
u105735,0
u105025,0
u101622,0
u102194,0
u106717,0
u107455,0
u102876,0
u101921,0
u101529,0
u108317,1
u103611,0
u107321,0
u107308,0
u101717,0
u107092,0
u108261,1
u104712,0
u102603,0
u108904,1
u102649,0
u105984,0
u105329,0
u105356,0
u101912,0
u107694,0
u103938,0
u101731,0
u104345,0
u101055,0
u105625,0
u106546,0
u108739,1
u105533,0
u104021,0
u105815,0
u104074,0
u104498,0
u106338,0
u104766,0
u101973,0
u104589,0
u103275,0
u102170,0
u105525,0
u106112,0
u101922,0
u106169,0
u107216,0
u107016,0
u106424,0
u104719,0
u107877,0
u108780,1
u102840,0
u101627,0
u108916,1
u104070,0
u103834,0
u105232,0
u102697,0
u102937,0
u102457,0
u101591,0
u105536,0
u103395,0
u107906,0
u106070,0
u103140,0
u105862,0
u104782,0
u104351,0
u105852,0
u106750,0
u104838,0
u106503,0
u106244,0
u108922,1
u108344,1
u105800,0
u101352,0
u106270,0
u101822,0
u108471,1
u101088,0
u106200,0
u107702,0
u107731,0
u103572,0
u107249,0
u103057,0
u108430,1
u102700,0
u102772,0
u104654,0
u101128,0
u101521,0
u108142,1
u107990,0
u104214,0
u103013,0
u106068,0
u104309,0
u108870,1
u101057,0
u107652,0
u106636,0
u107385,0
u101269,0
u107106,0
u101867,0
u104548,0
u102146,0
u101461,0
u103410,0
u104129,0
u107874,0
u108024,1
u107319,0
u101624,0
u108161,1
u108642,1
u104787,0
u107984,0
u104224,0
u105709,0
u105189,0
u103563,0
u104274,0
u105130,0
u101595,0
u104713,0
u105289,0
u104953,0
u106371,0
u101756,0
u103194,0
u108363,1
u104105,0
u103672,0
u106786,0
u105614,0
u106429,0
u107729,0
u103637,0
u103974,0
u105162,0
u105388,0
u107035,0
u106040,0
u102111,0
u107473,0
u107258,0
u101319,0
u107795,0
u104550,0
u101767,0
u108764,1
u104909,0
u106122,0
u108468,1
u101826,0
u103503,0
u102966,0
u102931,0
u104463,0
u107020,0
u106868,0
u108332,1
u108718,1
u107802,0
u103257,0
u102074,0
u104665,0
u105336,0
u102392,0
u102845,0
u108187,1
u104192,0
u101237,0
u102756,0
u101038,0
u105740,0
u107273,0
u107798,0
u106528,0
u108948,1
u107119,0
u101013,0
u102201,0
u106984,0
u108250,1
u102241,0
u104226,0
u108680,1
u106897,0
u107635,0
u107291,0
u104276,0
u108863,1
u101436,0
u104869,0
u106709,0
u105591,0
u104067,0
u106946,0
u101130,0
u103681,0
u105976,0
u101941,0
u101450,0
u101507,0
u105531,0
u104849,0
u102911,0
u108141,1
u103594,0
u103826,0
u101504,0
u108514,1
u105876,0
u105684,0
u103279,0
u107583,0
u107318,0
u106006,0
u107742,0
u104252,0
u105117,0
u102942,0
u106029,0
u103820,0
u101257,0
u102672,0
u101425,0
u102900,0
u106155,0
u105122,0
u101226,0
u104619,0
u107650,0
u108007,1
u107285,0
u103239,0
u105695,0
u101736,0
u104200,0
u104820,0
u108424,1
u104659,0
u103039,0
u106805,0
u103565,0
u105239,0
u107143,0
u103983,0
u102620,0
u102423,0
u102380,0
u101456,0
u104507,0
u102462,0
u105367,0
u107220,0
u106421,0
u104684,0
u106476,0
u108044,1
u102306,0
u104399,0
u108531,1
u102580,0
u107521,0
u107061,0
u104668,0
u105980,0
u103994,0
u106908,0
u108427,1
u107222,0
u108924,1
u108280,1
u105743,0
u105028,0
u101594,0
u102227,0
u103313,0
u108450,1
u106889,0
u101820,0
u106250,0
u104960,0
u102278,0
u102919,0
u106326,0
u107315,0
u107307,0
u104922,0
u107865,0
u104555,0
u105022,0
u103803,0
u108372,1
u102151,0
u102355,0
u106584,0
u106701,0
u103018,0
u105546,0
u105131,0
u108744,1
u108086,1
u104587,0
u103782,0
u106689,0
u103888,0
u106826,0
u101117,0
u106114,0
u104246,0
u102239,0
u102802,0
u108387,1
u108807,1
u102049,0
u101089,0
u103450,0
u101467,0
u102507,0
u105136,0
u104670,0
u101554,0
u106839,0
u101862,0
u106515,0
u102525,0
u107083,0
u107661,0
u104692,0
u105781,0
u106793,0
u108063,1
u104897,0
u103164,0
u106993,0
u102601,0
u108609,1
u103596,0
u101172,0
u105713,0
u102195,0
u107598,0
u101566,0
u101063,0
u107368,0
u103328,0
u101213,0
u103985,0
u106529,0
u104469,0
u101737,0
u103148,0
u102139,0
u101042,0
u103775,0
u105597,0
u106450,0
u102755,0
u107327,0
u106536,0
u107919,0
u108668,1
u101466,0
u107191,0
u105542,0
u102403,0
u108088,1
u102498,0
u104097,0
u102469,0
u108819,1
u103777,0
u102177,0
u107732,0
u105016,0
u107341,0
u104406,0
u102417,0
u101657,0
u108462,1
u104299,0
u103001,0
u103276,0
u105369,0
u103319,0
u107736,0
u102430,0
u102208,0
u106323,0
u102421,0
u106285,0
u104204,0
u106509,0
u106138,0
u108639,1
u104957,0
u104984,0
u108674,1
u103369,0
u101928,0
u105295,0
u106441,0
u103314,0
u107804,0
u106108,0
u103228,0
u104308,0
u107523,0
u104060,0
u101330,0
u106415,0
u102559,0
u103819,0
u103343,0
u104319,0
u107388,0
u108619,1
u101718,0
u102242,0
u108098,1
u105992,0
u105575,0
u102416,0
u106900,0
u105321,0
u103613,0
u104858,0
u101877,0
u102595,0
u102941,0
u105797,0
u106697,0
u105042,0
u103972,0
u101216,0
u104880,0
u101825,0
u105990,0
u101634,0
u103111,0
u102852,0
u102037,0
u101985,0
u102381,0
u105002,0
u106347,0
u101658,0
u107245,0
u105241,0
u102479,0
u105864,0
u103081,0
u105805,0
u103927,0
u106684,0
u105035,0
u106720,0
u102679,0
u108282,1
u107006,0
u107194,0
u101662,0
u105649,0
u101858,0
u104101,0
u102067,0
u102174,0
u108608,1
u108552,1
u106087,0
u107701,0
u102428,0
u104889,0
u103009,0
u104728,0
u101603,0
u106341,0
u101390,0
u103325,0
u106810,0
u108565,1
u108693,1
u105820,0
u105983,0
u103153,0
u102961,0
u103000,0
u102046,0
u104894,0
u103195,0
u106480,0
u108809,1
u105335,0
u108336,1
u107763,0
u107980,0
u103283,0
u104005,0
u108327,1
u108623,1
u106830,0
u105639,0
u101463,0
u102766,0
u105885,0
u102817,0
u103305,0
u105430,0
u107210,0
u106339,0
u105609,0
u108185,1
u106838,0
u106487,0
u107893,0
u107611,0
u107043,0
u102375,0
u102750,0
u108040,1
u102585,0
u104595,0
u102266,0
u101723,0
u101099,0
u106309,0
u105298,0
u106761,0
u102331,0
u104995,0
u105176,0
u105796,0
u107436,0
u104603,0
u103593,0
u106418,0
u108818,1
u107934,0
u104552,0
u107870,0
u103107,0
u107654,0
u103438,0
u103090,0
u106678,0
u105095,0
u105264,0
u107953,0
u101577,0
u104798,0
u108163,1
u102757,0
u106883,0
u101077,0
u108705,1
u104015,0
u108443,1
u102378,0
u107185,0
u105031,0
u108488,1
u104436,0
u102568,0
u104130,0
u104433,0
u104420,0
u105991,0
u105981,0
u105445,0
u105710,0
u106478,0
u102202,0
u107196,0
u102121,0
u107607,0
u103211,0
u108788,1
u108152,1
u106174,0
u104316,0
u101159,0
u106009,0
u106975,0
u107104,0
u105961,0
u107582,0
u104639,0
u107030,0
u104803,0
u101555,0
u103088,0
u106253,0
u107855,0
u105678,0
u103274,0
u107659,0
u108123,1
u102312,0
u103734,0
u105046,0
u107946,0
u101421,0
u108836,1
u101506,0
u104145,0
u101924,0
u105891,0
u106916,0
u104705,0
u103859,0
u108352,1
u101272,0
u104650,0
u103759,0
u104893,0
u104476,0
u107757,0
u106041,0
u106712,0
u104540,0
u104612,0
u108899,1
u105167,0
u108289,1
u103971,0
u102164,0
u108995,1
u108665,1
u105627,0
u107777,0
u106036,0
u102154,0
u104367,0
u104172,0
u105057,0
u106269,0
u107188,0
u108064,1
u101045,0
u105301,0
u105103,0
u108015,1
u105347,0
u108735,1
u101518,0
u104028,0
u105154,0
u108247,1
u101150,0
u103193,0
u101650,0
u108371,1
u108510,1
u103754,0
u102734,0
u106230,0
u107034,0
u103569,0
u101687,0
u105793,0
u106892,0
u103166,0
u108404,1
u108730,1
u108330,1
u104462,0
u106812,0
u105361,0
u103491,0
u104933,0
u103531,0
u101782,0
u103364,0
u105926,0
u108869,1
u104131,0
u108042,1
u103550,0
u104181,0
u106560,0
u104245,0
u108001,1
u101859,0
u102992,0
u102767,0
u108385,1
u107221,0
u104865,0
u103122,0
u102945,0
u105698,0
u102813,0
u102371,0
u104041,0
u102761,0
u101513,0
u105343,0
u107905,0
u107933,0
u108197,1
u107430,0
u101758,0
u107262,0
u105086,0
u106287,0
u106722,0
u108888,1
u106968,0
u103934,0
u106072,0
u102055,0
u103591,0
u102356,0
u102143,0
u102720,0
u101663,0
u101137,0
u103146,0
u108071,1
u102553,0
u104081,0
u104111,0
u102616,0
u104834,0
u102788,0
u101177,0
u104843,0
u108338,1
u102132,0
u107783,0
u101834,0
u108901,1
u104045,0
u108445,1
u102234,0
u108129,1
u101713,0
u103622,0
u104682,0
u101295,0
u102612,0
u102447,0
u105303,0
u104657,0
u102964,0
u101705,0
u108037,1
u106316,0
u103746,0
u106575,0
u102708,0
u108657,1
u101667,0
u108223,1
u107046,0
u101806,0
u103416,0
u108014,1
u107375,0
u103673,0
u101978,0
u106641,0
u104502,0
u108583,1
u108782,1
u103285,0
u102265,0
u106268,0
u104124,0
u104043,0
u108578,1
u104886,0
u105721,0
u107871,0
u101530,0
u101538,0
u101845,0
u102425,0
u103223,0
u101904,0
u101597,0
u105645,0
u104227,0
u102210,0
u105835,0
u106564,0
u103595,0
u103891,0
u101162,0
u101552,0
u102499,0
u101171,0
u107743,0
u107853,0
u106051,0
u104943,0
u103810,0
u103510,0
u106141,0
u101064,0
u104373,0
u105147,0
u104514,0
u107342,0
u105690,0
u106461,0
u103115,0
u107166,0
u101775,0
u102787,0
u102402,0
u104344,0
u101166,0
u104751,0
u102094,0
u107840,0
u101494,0
u105024,0
u105105,0
u103765,0
u103488,0
u105285,0
u105925,0
u102159,0
u103024,0
u103918,0
u105813,0
u106207,0
u102134,0
u108441,1
u102411,0
u106111,0
u106098,0
u105385,0
u104396,0
u108689,1
u105353,0
u102360,0
u107448,0
u101086,0
u107597,0
u106410,0
u104287,0
u103208,0
u106432,0
u103626,0
u106888,0
u106192,0
u101489,0
u102182,0
u104593,0
u101951,0
u104605,0
u106367,0
u105318,0
u104431,0
u106930,0
u108734,1
u103242,0
u102561,0
u105032,0
u107227,0
u108078,1
u105985,0
u102003,0
u103429,0
u103559,0
u106852,0
u103220,0
u102445,0
u104583,0
u101629,0
u103963,0
u108050,1
u102454,0
u101550,0
u101148,0
u108255,1
u101537,0
u108246,1
u105685,0
u108881,1
u101282,0
u102057,0
u104972,0
u105340,0
u108707,1
u102439,0
u106998,0
u103156,0
u101613,0
u108631,1
u105001,0
u104756,0
u105607,0
u108221,1
u108855,1
u102009,0
u106864,0
u108530,1
u103126,0
u102828,0
u108710,1
u103553,0
u104585,0
u101392,0
u105008,0
u105529,0
u104997,0
u106704,0
u102904,0
u103549,0
u105776,0
u104425,0
u104996,0
u106501,0
u108070,1
u106393,0
u104185,0
u101837,0
u105166,0
u101722,0
u108279,1
u107761,0
u102565,0
u101751,0
u106310,0
u107435,0
u105083,0
u101947,0
u107545,0
u107213,0
u108108,1
u108886,1
u104040,0
u102638,0
u107976,0
u103919,0
u105667,0
u106073,0
u104360,0
u101621,0
u103956,0
u108612,1
u101768,0
u103744,0
u102726,0
u107054,0
u108685,1
u101363,0
u103960,0
u105532,0
u103064,0
u103763,0
u104435,0
u102475,0
u105580,0
u108228,1
u101053,0
u101279,0
u108930,1
u106345,0
u104056,0
u107377,0
u106940,0
u104434,0
u103562,0
u105465,0
u105020,0
u106985,0
u106777,0
u104506,0
u104063,0
u103016,0
u105037,0
u102144,0
u104840,0
u108456,1
u101817,0
u103377,0
u104920,0
u101078,0
u103659,0
u103905,0
u107049,0
u108438,1
u103331,0
u108914,1
u106120,0
u103937,0
u104861,0
u106202,0
u103498,0
u106652,0
u103394,0
u106799,0
u102602,0
u103447,0
u103133,0
u105160,0
u106954,0
u101232,0
u101741,0
u103736,0
u106288,0
u102975,0
u101946,0
u103284,0
u104876,0
u102188,0
u106713,0
u103509,0
u104180,0
u101821,0
u102013,0
u105803,0
u103990,0
u102285,0
u107859,0
u107993,0
u104505,0
u104225,0
u104916,0
u106861,0
u103015,0
u108614,1
u108189,1
u108245,1
u104184,0
u101422,0
u108339,1
u104807,0
u103609,0
u101584,0
u108600,1
u107154,0
u108213,1
u107454,0
u108346,1
u103802,0
u103086,0
u107031,0
u108111,1
u104622,0
u104509,0
u108536,1
u102922,0
u103827,0
u103757,0
u104755,0
u105777,0
u106880,0
u106667,0
u103244,0
u105366,0
u108857,1
u105178,0
u102279,0
u105398,0
u108237,1
u101180,0
u107053,0
u103723,0
u108399,1
u105284,0
u107995,0
u101630,0
u101796,0
u106457,0
u105390,0
u101609,0
u102221,0
u105722,0
u106614,0
u105068,0
u106548,0
u105635,0
u106825,0
u101475,0
u107355,0
u106692,0
u102297,0
u105185,0
u107334,0
u105644,0
u102156,0
u105945,0
u103152,0
u104183,0
u108380,1
u105786,0
u103117,0
u106143,0
u108542,1
u107243,0
u106613,0
u102435,0
u103120,0
u107608,0
u104789,0
u104445,0
u104653,0
